Text,seeking_help
"So this group helped my family and I so much when the hurricane hit. Now we need some help again. We cannot afford to stay in this hotel any longer, its just too much. We have 2 days left here, and that's it. The homeless shelters are either full, or don't except a family as large as us. Its my wife, my 3 young children and myself. I'm calling everyone i can that offers help, and they are just feeding me phone numbers to call, and that's just leading to more phone numbers! Its overwhelming. My wife has full time work, and I am going for a job interview here in about an hour. We just need somewhere to go for like, 30 days so we can save up move in cost. That's the only thing holding us back! We are thinking about hitting a camp site or something, but go figure its raining its butt off every day here in Greensboro. If anyone can house my family for just 30 days around Greensboro, It would give us the jump we need to finally get ahead of all this. We are clean, quiet, and VERY respectful. We have a running, insured vehicle, and neither of us do any drugs or drink. My children are angels and you'll fall in love with them, i guarantee it! Any and all resources anyone can provide would be greatly appreciated. Thank you all again, and god bless.",1
Hi is there anyone that can help us with food and water in dillon s.c. know one is help us we dont have any anything is are house no food if any one got the please help us think & God bless,1
Can any one help are family with food please hurricane Florence got us bad like with all are food is gone,1
Am in need of help in the Clarkton NC area friends niece trying to get to her grandmother has run out of gas. Can anyone help or advise?,1
There is a family a husband a wife and a 7 month old baby that is in Rocky Mount NC that is trying to get to Portland Oregon on a greyhound bus to a safe place because there home and everything was lost they can not afford the tickets is there any info or help for this,1
"Urgent help! Sister in law and her dog have no vehicle and no money and have no way to leave. They are on 4th street in a stilt house in north Myrtle beach. I tried everything with no solutions ie: Red Cross, police, SPCA, emer. Manag., car rental, hotel,",1
"Dont know if i can post this here, but my family and I are in greensboro and we have spent every penny on this hotel. We are in desperate need of diapers and wipes and food. Please if anyone can help, it would mean the world to us. Thank you and god bless",1
Imagine this - you wake up up one day and your home and business have been decimated by fire and you're not insured.  This is a reality for Pamela Robins. ,1
"Lauren Kilroy-Ewbank and her family - Shawn, Eleana and Anaïs - have lost their home at Malibou Lake due to the Woolsey fire.  Her family is safe (thank God) but they lost everything in their home when they were evacuated at 1:28am. Family and friends have been reaching out to offer support so I started this page for those of you who would like to donate monetarily. They are overwhelmed at the moment as a result of this devastating environmental disaster but they have mentioned how incredibly thankful they are for everyone's messages, acts of kindness and support.",1
"My name is Catherine Heng and I am a relative of the family whose 3 family house was destroyed during a house fire in Lynn, Massachusetts this Thanksgiving.  Our holidays, which usually mean shining a light on gratitude, was extremely bright this year as everyone escaped safely out of a burning house.  While emergencies and accidents are bound to happen, we would've never expected that something this tragic would've happen to us.  Today, I am extremely humbled and extending my hand out on behalf of my 17 family members - 3 floors of families, including my grandma - who lived in this house.  The funds will be used to purchase clothes, food and permanent shelter. ",1
"We are so sad to share that Jasmine and her family lost their home of over 30 years to the Woolsey fires on November 9th, including all of her personal belongings. Jasmine is eight months pregnant and is now without a place to live. It is a monumental loss and our hearts are aching for her.",1
"Last Friday, our dear friends, my Aussie mate, Naomi Louise Warne and her son, Gabe Deibel lost their beautiful home when it burned to the ground in the Malibu fires.  Thankfully, they both escaped with their sweet old dog, Annie, but their magical cottage, home to them for over 20 years, and all but a few of their treasured possessions, went up in flames. ",1
"I lost everything in the Malibu fires including my cameras, equipment, and personal belongings. Please help me get back on my feet. I would sincerely appreciate it. Much love -Brendon",1
"n November 8, 2018 the Ratcliff family lost all of their possessions when their home and belongings burned in the Camp Fire in Paradise, CA. Leland, Amanda, two kids and their dog and cat are all safe but they will be beginning a long period of rebuilding. Amanda is an ESL teacher and is currently a stay at home mom while Leland has been fighting fires for us with the US Forest Service for 15 years. He was still serving the community helping evacuate people during the fire that burned their very home and continues to help as the fire rages on.",1
"On November 11th, Blythe, Hamish, and their two young children, Owl and Georgie,  lost their house to the Malibu fires.  They left with basically the clothes on their backs.  Sadly, their sweet cat was not able to be rescued.   We are asking for support from you, to help them rebuild a life and home during this tragic time. Any little bit helps. ",1
"Single Mom Emily Scher, her daughter Nikki and her son Matt just lost their home and all their belongings in the Malibu fires.",1
"Hi Family and Friends! On July 23rd a large amount of rain came pouring down in a very short amount of time causing the entire bottom level of my Mom's split level home to flood. She has lost everything on the bottom level (the main living area) and is in the process of ripping out carpert, drywall, and throwing away all furniture and belongings that were on the bottom level. Insurance is not covering any of the damage, and as you can imagine this has brought on the huge burden of trying to replace everything 100% out of pocket. ",1
"We wanted to inform you of a horrible event that has occurred within the NeoTract family. In Santa Barbara on January 9th, there were severe rain storms that resulted in flash floods. Terrible timing given the recent fires.  Kim Cantin and her family were horribly impacted by this storm. We are sorry to report that her house was completely washed away and more heartbreak is that her husband Dave and her 16-year old son Jack are still missing. Thankfully her 14-year old daughter was rescued by firefighters on January 9th.  We are working with the local community to offer as much support to Kim and her family as quickly as possible.",1
"My sister Terri and her family have lost everything during this hurricane flooding in Houston. They were rescued this morning and taken to a shelter. Their house when they left was 5 ft. Deep in water....they were never able to afford insurance. My sister and her husband are in their 70's and he was continuing to work to make ends meet. I set my goal high, but that will get them started in recovery when the flood waters recede. They even lost their car.  I hope FEMA will step in and come to Houstons rescue.  Please pray for all involved.",1
"Hey, I have lost everything after the flood which has occurred. I need help immediately: food, water, clothes. Please donate any money and help us renovating the building",1
Help me please! My house is in ruin. The fire has destroyed the whole house and we are left with ashes.. Help needed urgently to get the personal belongings and rebuild/ reconstruct the house,1
The recent hurricane has signficant impact on the state of our house. Please help us by donating the money and renovating the house. Thank you for assistance,1
Earthquake has destroyed our property. Help is required urgently!,1
Insects and vermins have infested our house thus making it unhabitable. We are not able to cover the whole cost of the house renovation. We seek financial and physical support so please do help !,1
The fire destroyed my garden and all of the amenities around. Can anyone help please,1
"Unfortunate event has happened. My property was destroyed by the natural disaster. It is very bad and I need help urgently, please send me money and volunteer to help with renovation. Thanks !",1
House  is in shambles. Help please!,1
